Timestamp	Sensor	NIS
1477010459200000	L	1.96068
1477010459250000	R	2.67346
1477010459300000	L	0.925519
1477010459350000	R	0.484758
1477010459400000	L	1.78808
1477010459450000	R	4.52824
1477010459500000	L	5.24193
1477010459550000	R	1.98984
1477010459600000	L	1.98847
1477010459650000	R	2.10732
1477010459700000	L	0.518295
1477010459750000	R	4.70762
1477010459800000	L	1.48624
1477010459850000	R	8.2854
1477010459900000	L	0.513278
1477010459950000	R	1.66035
1477010460000000	L	0.152787
1477010460050000	R	0.332884
1477010460100000	L	2.10846
1477010460150000	R	1.74003
1477010460200000	L	0.285623
1477010460250000	R	3.80139
1477010460300000	L	3.1255
1477010460350000	R	0.802959
1477010460400000	L	0.670911
1477010460450000	R	4.72721
1477010460500000	L	15.1032
1477010460550000	R	1.5259
1477010460600000	L	1.02031
1477010460650000	R	2.62586
1477010460700000	L	0.999998
1477010460750000	R	1.99421
1477010460800000	L	0.896876
1477010460850000	R	5.58222
1477010460900000	L	0.0402081
1477010460950000	R	2.64194
1477010461000000	L	1.66537
1477010461050000	R	0.672445
1477010461100000	L	5.8201
1477010461150000	R	2.37247
1477010461200000	L	1.89452
1477010461250000	R	2.62136
1477010461300000	L	1.03638
1477010461350000	R	0.744897
1477010461400000	L	2.60763
1477010461450000	R	2.05706
1477010461500000	L	2.70058
1477010461550000	R	3.44419
1477010461600000	L	5.36502
1477010461650000	R	0.324272
1477010461700000	L	2.92455
1477010461750000	R	1.80132
1477010461800000	L	0.370437
1477010461850000	R	0.937271
1477010461900000	L	0.611351
1477010461950000	R	5.47121
1477010462000000	L	0.412286
1477010462050000	R	0.239942
1477010462100000	L	0.721914
1477010462150000	R	11.2193
1477010462200000	L	1.57403
1477010462250000	R	1.88453
1477010462300000	L	3.88009
1477010462350000	R	0.165719
1477010462400000	L	1.36358
1477010462450000	R	2.54363
1477010462500000	L	5.88823
1477010462550000	R	1.40966
1477010462600000	L	0.931796
1477010462650000	R	1.70565
1477010462700000	L	1.28931
1477010462750000	R	1.97985
1477010462800000	L	0.00606428
1477010462850000	R	5.08944
1477010462900000	L	0.792569
1477010462950000	R	2.3198
1477010463000000	L	2.48099
1477010463050000	R	2.73668
1477010463100000	L	1.11675
1477010463150000	R	1.85284
1477010463200000	L	2.39994
1477010463250000	R	5.61563
1477010463300000	L	0.540966
1477010463350000	R	8.43654
1477010463400000	L	0.715747
1477010463450000	R	0.768159
1477010463500000	L	0.780043
1477010463550000	R	0.363117
1477010463600000	L	0.207301
1477010463650000	R	2.94587
1477010463700000	L	1.47886
1477010463750000	R	2.15017
1477010463800000	L	0.319637
1477010463850000	R	1.10052
1477010463900000	L	3.55414
1477010463950000	R	0.544478
1477010464000000	L	2.23329
1477010464050000	R	9.00507
1477010464100000	L	0.382937
1477010464150000	R	2.32094
1477010464200000	L	1.03735
1477010464250000	R	0.813585
1477010464300000	L	1.15507
1477010464350000	R	2.93443
1477010464400000	L	0.0105352
1477010464450000	R	4.21099
1477010464500000	L	0.0481425
1477010464550000	R	1.03934
1477010464600000	L	4.17536
1477010464650000	R	5.71851
1477010464700000	L	0.897164
1477010464750000	R	2.06154
1477010464800000	L	0.355181
1477010464850000	R	1.92443
1477010464900000	L	2.101
1477010464950000	R	5.897
1477010465000000	L	0.0363324
1477010465050000	R	1.51252
1477010465100000	L	4.69358
1477010465150000	R	4.8452
1477010465200000	L	2.79505
1477010465250000	R	5.58728
1477010465300000	L	1.3546
1477010465350000	R	0.998232
1477010465400000	L	0.575828
1477010465450000	R	0.386349
1477010465500000	L	0.796384
1477010465550000	R	5.06181
1477010465600000	L	6.2246
1477010465650000	R	1.70504
1477010465700000	L	0.631102
1477010465750000	R	4.78958
1477010465800000	L	2.44272
1477010465850000	R	3.28124
1477010465900000	L	0.304533
1477010465950000	R	0.353188
1477010466000000	L	0.28239
1477010466050000	R	0.0472803
1477010466100000	L	1.10413
1477010466150000	R	0.395186
1477010466200000	L	1.72213
1477010466250000	R	0.259128
1477010466300000	L	1.91558
1477010466350000	R	7.16402
1477010466400000	L	0.325599
1477010466450000	R	6.58403
1477010466500000	L	1.71876
1477010466550000	R	0.61272
1477010466600000	L	7.87304
1477010466650000	R	0.446705
1477010466700000	L	1.08334
1477010466750000	R	0.76441
1477010466800000	L	3.40575
1477010466850000	R	1.02454
1477010466900000	L	2.59682
1477010466950000	R	0.219893
1477010467000000	L	1.7573
1477010467050000	R	2.81615
1477010467100000	L	0.836459
1477010467150000	R	6.83777
1477010467200000	L	2.62752
1477010467250000	R	1.22485
1477010467300000	L	0.998548
1477010467350000	R	6.93908
1477010467400000	L	2.07798
1477010467450000	R	3.87534
1477010467500000	L	0.825096
1477010467550000	R	2.40277
1477010467600000	L	1.115
1477010467650000	R	6.37567
1477010467700000	L	3.4988
1477010467750000	R	1.46266
1477010467800000	L	6.6903
1477010467850000	R	1.46351
1477010467900000	L	0.657246
